#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P08394	uniprotkb:P07648	intact:EBI-556814|uniprotkb:Q2MA17	intact:EBI-556823|uniprotkb:Q2MA15|uniprotkb:Q9RNX9	psi-mi:recb_ecoli(display_long)|uniprotkb:Exodeoxyribonuclease V 135 kDa polypeptide(gene name synonym)|uniprotkb:recB(gene name)|psi-mi:recB(display_short)|uniprotkb:rorA(gene name synonym)|uniprotkb:b2820(locus name)|uniprotkb:JW2788(locus name)|uniprotkb:Exodeoxyribonuclease V beta chain(gene name synonym)|uniprotkb:Exonuclease V subunit RecB(gene name synonym)|uniprotkb:Helicase/nuclease RecBCD subunit RecB(gene name synonym)|uniprotkb:ior(gene name synonym)	psi-mi:recc_ecoli(display_long)|uniprotkb:Exodeoxyribonuclease V 125 kDa polypeptide(gene name synonym)|uniprotkb:recC(gene name)|psi-mi:recC(display_short)|uniprotkb:Exodeoxyribonuclease V gamma chain(gene name synonym)|uniprotkb:Exonuclease V subunit RecC(gene name synonym)|uniprotkb:JW2790(locus name)|uniprotkb:b2822(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Saikrishnan et al. (2008)	pubmed:18668125|imex:IM-13984|mint:MINT-7233254|doi:10.1038/emboj.2008.144	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8038391|mint:MINT-7233262|imex:IM-13984-1|wwpdb:3k70	intact-miscore:0.62
uniprotkb:P08394	uniprotkb:P04993	intact:EBI-556814|uniprotkb:Q2MA17	intact:EBI-556830|uniprotkb:Q2MA18|uniprotkb:Q59378	psi-mi:recb_ecoli(display_long)|uniprotkb:Exodeoxyribonuclease V 135 kDa polypeptide(gene name synonym)|uniprotkb:recB(gene name)|psi-mi:recB(display_short)|uniprotkb:rorA(gene name synonym)|uniprotkb:b2820(locus name)|uniprotkb:JW2788(locus name)|uniprotkb:Exodeoxyribonuclease V beta chain(gene name synonym)|uniprotkb:Exonuclease V subunit RecB(gene name synonym)|uniprotkb:Helicase/nuclease RecBCD subunit RecB(gene name synonym)|uniprotkb:ior(gene name synonym)	psi-mi:recd_ecoli(display_long)|uniprotkb:Exodeoxyribonuclease V 67 kDa polypeptide(gene name synonym)|uniprotkb:recD(gene name)|psi-mi:recD(display_short)|uniprotkb:Exodeoxyribonuclease V alpha chain(gene name synonym)|uniprotkb:Exonuclease V subunit RecD(gene name synonym)|uniprotkb:Helicase/nuclease RecBCD subunit RecD(gene name synonym)|uniprotkb:hopE(gene name synonym)|uniprotkb:JW2787(locus name)|uniprotkb:b2819(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Saikrishnan et al. (2008)	pubmed:18668125|imex:IM-13984|mint:MINT-7233254|doi:10.1038/emboj.2008.144	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8038391|mint:MINT-7233262|imex:IM-13984-1|wwpdb:3k70	intact-miscore:0.62
uniprotkb:Q83UM2	uniprotkb:P31697	intact:EBI-8548126|intact:MINT-2831160	intact:EBI-1028005|uniprotkb:P71220|uniprotkb:Q2M5Z7	psi-mi:q83um2_ecolx(display_long)|uniprotkb:fimA(gene name)|psi-mi:fimA(display_short)|uniprotkb:BN17_43281(orf name)|uniprotkb:ACN002_4580(orf name)	psi-mi:fimc_ecoli(display_long)|uniprotkb:fimC(gene name)|psi-mi:fimC(display_short)|uniprotkb:b4316(locus name)|uniprotkb:JW4279(locus name)	psi-mi:"MI:0226"(ion exchange chromatography)	Vetsch et al. (2006)	mint:MINT-5218742|pubmed:16767077|imex:IM-11412	taxid:562(ecolx)|taxid:562(Escherichia coli)	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8548137|mint:MINT-2831178|imex:IM-11412-1	intact-miscore:0.56
uniprotkb:Q83UM2	uniprotkb:P31697	intact:EBI-8548126|intact:MINT-2831160	intact:EBI-1028005|uniprotkb:P71220|uniprotkb:Q2M5Z7	psi-mi:q83um2_ecolx(display_long)|uniprotkb:fimA(gene name)|psi-mi:fimA(display_short)|uniprotkb:BN17_43281(orf name)|uniprotkb:ACN002_4580(orf name)	psi-mi:fimc_ecoli(display_long)|uniprotkb:fimC(gene name)|psi-mi:fimC(display_short)|uniprotkb:b4316(locus name)|uniprotkb:JW4279(locus name)	psi-mi:"MI:0405"(competition binding)	Vetsch et al. (2006)	mint:MINT-5218742|pubmed:16767077|imex:IM-11412	taxid:562(ecolx)|taxid:562(Escherichia coli)	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8548163|mint:MINT-2831216|imex:IM-11412-2	intact-miscore:0.56
uniprotkb:P25714	uniprotkb:P00551	intact:EBI-6400779|uniprotkb:Q2M818	intact:EBI-6303287|uniprotkb:Q53299|uniprotkb:Q8GNQ0	psi-mi:yidc_ecoli(display_long)|uniprotkb:Foldase YidC(gene name synonym)|uniprotkb:Inner membrane protein YidC(gene name synonym)|uniprotkb:Membrane integrase YidC(gene name synonym)|uniprotkb:Oxa1Ec(gene name synonym)|uniprotkb:JW3683(locus name)|uniprotkb:b3705(locus name)|uniprotkb:yidC(gene name)|psi-mi:yidC(display_short)	psi-mi:kka1_ecolx(display_long)|uniprotkb:aphA1(gene name)|psi-mi:aphA1(display_short)|uniprotkb:nptI(gene name synonym)|uniprotkb:"APH(3')-I"(gene name synonym)|uniprotkb:Kanamycin kinase, type I(gene name synonym)|uniprotkb:Neomycin-kanamycin phosphotransferase type I(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	van et al. (2008)	pubmed:18387365|imex:IM-13986|mint:MINT-6379241	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7869329|mint:MINT-6478363|imex:IM-13986-4	intact-miscore:0.40
uniprotkb:P06716	uniprotkb:P17315	intact:EBI-7386310|intact:MINT-4794283	intact:EBI-1124042|uniprotkb:Q2MAS4	psi-mi:ceia_ecolx(display_long)|uniprotkb:cia(gene name)|psi-mi:cia(display_short)	psi-mi:cira_ecoli(display_long)|uniprotkb:cirA(gene name)|psi-mi:cirA(display_short)|uniprotkb:cir(gene name synonym)|uniprotkb:feuA(gene name synonym)|uniprotkb:b2155(locus name)|uniprotkb:JW2142(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Buchanan et al. (2007)	pubmed:17464289|imex:IM-10828|mint:MINT-5219881	taxid:562(ecolx)|taxid:562(Escherichia coli)	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7386327|mint:MINT-4794272|imex:IM-10828-1	intact-miscore:0.44
uniprotkb:P09883	uniprotkb:P19934	intact:EBI-1029888	intact:EBI-1120026	psi-mi:cea9_ecolx(display_long)|uniprotkb:col(gene name)|psi-mi:col(display_short)|uniprotkb:cei(gene name synonym)	psi-mi:tola_ecoli(display_long)|uniprotkb:tolA(gene name)|psi-mi:tolA(display_short)|uniprotkb:cim(gene name synonym)|uniprotkb:excC(gene name synonym)|uniprotkb:lky(gene name synonym)|uniprotkb:b0739(locus name)|uniprotkb:JW0729(locus name)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Bonsor et al. (2009)	pubmed:19696740|imex:IM-14582|mint:MINT-7915008|doi:10.1038/emboj.2009.224	taxid:562(ecolx)|taxid:562(Escherichia coli)	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7180937|mint:MINT-7915164|imex:IM-14582-8	intact-miscore:0.40
uniprotkb:P09883	uniprotkb:P0A855	intact:EBI-1029888	intact:EBI-7180728|uniprotkb:P19935|intact:MINT-7888580	psi-mi:cea9_ecolx(display_long)|uniprotkb:col(gene name)|psi-mi:col(display_short)|uniprotkb:cei(gene name synonym)	psi-mi:tolb_ecoli(display_long)|uniprotkb:tolB(gene name)|psi-mi:tolB(display_short)|uniprotkb:b0740(locus name)|uniprotkb:JW5100(locus name)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Bonsor et al. (2009)	pubmed:19696740|imex:IM-14582|mint:MINT-7915008|doi:10.1038/emboj.2009.224	taxid:562(ecolx)|taxid:562(Escherichia coli)	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7180937|mint:MINT-7915164|imex:IM-14582-8	intact-miscore:0.76
uniprotkb:P0A855	uniprotkb:P09883	intact:EBI-7180728|uniprotkb:P19935|intact:MINT-7888580	intact:EBI-1029888	psi-mi:tolb_ecoli(display_long)|uniprotkb:tolB(gene name)|psi-mi:tolB(display_short)|uniprotkb:b0740(locus name)|uniprotkb:JW5100(locus name)	psi-mi:cea9_ecolx(display_long)|uniprotkb:col(gene name)|psi-mi:col(display_short)|uniprotkb:cei(gene name synonym)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Bonsor et al. (2009)	pubmed:19696740|imex:IM-14582|mint:MINT-7915008|doi:10.1038/emboj.2009.224	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7180974|mint:MINT-7915186|imex:IM-14582-9	intact-miscore:0.76
uniprotkb:P0A855	uniprotkb:P09883	intact:EBI-7180728|uniprotkb:P19935|intact:MINT-7888580	intact:EBI-1029888	psi-mi:tolb_ecoli(display_long)|uniprotkb:tolB(gene name)|psi-mi:tolB(display_short)|uniprotkb:b0740(locus name)|uniprotkb:JW5100(locus name)	psi-mi:cea9_ecolx(display_long)|uniprotkb:col(gene name)|psi-mi:col(display_short)|uniprotkb:cei(gene name synonym)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Bonsor et al. (2009)	pubmed:19696740|imex:IM-14582|mint:MINT-7915008|doi:10.1038/emboj.2009.224	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7180989|mint:MINT-7915202|imex:IM-14582-10	intact-miscore:0.76
