Entry,Gene names  (ordered locus )
B5WWL1,PA0457.1
E1JGJ6,PA1552.1
E1JGJ7,PA1555.1
E1JGJ8,PA3701
E1JGJ9,PA4724.1
E1JGK0,PA5471.1
G3XCT4,PA3580
G3XCT5,PA0412
G3XCT6,PA1458
G3XCT7,PA4393
G3XCT8,PA1699
G3XCT9,PA0616
G3XCU0,PA1245
G3XCU1,PA0416
G3XCU2,PA0893
G3XCU3,PA5449
G3XCU4,PA0632
G3XCU5,PA0676
G3XCU6,PA1754
G3XCU7,PA2949
G3XCU8,PA0628
G3XCU9,PA2020
G3XCV0,PA1097
G3XCV1,PA2426
G3XCV2,PA4226
G3XCV3,PA2794
G3XCV4,PA4216
G3XCV5,PA5056
G3XCV6,PA1775
G3XCV7,PA4003
G3XCV8,PA2405
G3XCV9,PA5514
G3XCW0,PA0198
G3XCW1,PA0637
G3XCW2,PA2018
G3XCW3,PA3154
G3XCW4,PA1704
G3XCW5,PA3031
G3XCW6,PA0527
G3XCW7,PA1462
G3XCW8,PA3930
G3XCW9,PA4522
G3XCX0,PA3789
G3XCX1,PA3875
G3XCX2,PA0624
G3XCX3,PA0396
G3XCX4,PA4404
G3XCX5,PA0618
G3XCX6,PA1698
G3XCX7,PA5041
G3XCX8,PA0900
G3XCX9,PA0598
G3XCY0,PA0979
G3XCY1,PA0765
G3XCY2,PA3160
G3XCY3,PA1463
G3XCY4,PA3385
G3XCY5,PA2394
G3XCY6,PA3192
G3XCY7,PA2257
G3XCY8,PA4514
G3XCY9,PA3873
G3XCZ0,PA4550
G3XCZ1,PA0673
G3XCZ2,PA5262
G3XCZ3,PA2960
G3XCZ4,PA0891
G3XCZ5,PA0890
G3XCZ6,PA2968
G3XCZ7,PA3119
G3XCZ8,PA0672
G3XCZ9,PA5058
G3XD00,PA1773
G3XD01,PA3156
G3XD02,PA5368
G3XD03,PA1688
G3XD04,PA5443
G3XD05,PA3929
G3XD06,PA0630
G3XD07,PA1018
G3XD08,PA0621
G3XD09,PA5035
G3XD10,PA0511
G3XD11,PA1178
G3XD12,PA2195
G3XD13,PA0902
G3XD14,PA4723
G3XD15,PA4552
G3XD16,PA2523
G3XD17,PA3737
G3XD18,PA3872
G3XD19,PA3153
G3XD20,PA0766
G3XD21,PA2019
G3XD22,PA2279
G3XD23,PA3158
G3XD24,PA4309
G3XD25,PA4599
G3XD26,PA3978
G3XD27,PA5055
G3XD28,PA5044
G3XD29,PA3887
G3XD30,PA5043
G3XD31,PA4700
G3XD32,PA1872
G3XD33,PA3407
G3XD34,PA4612
G3XD35,PA5012
G3XD36,PA0337
G3XD37,PA1701
G3XD38,PA0633
G3XD39,PA0622
G3XD40,PA3925
G3XD41,PA0826.1
G3XD42,PA0617
G3XD43,PA4556
G3XD44,PA0521
G3XD45,PA0674
G3XD46,PA4418
G3XD47,PA0888
G3XD48,PA5008
G3XD49,PA1706
G3XD50,PA3145
G3XD51,PA5042
G3XD52,PA3302
G3XD53,PA2321
G3XD54,PA1816
G3XD55,PA4555
G3XD56,PA0635
G3XD57,PA0636
G3XD58,PA5450
G3XD59,PA4118
G3XD60,PA3877
