#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5	intact:EBI-7862965|intact:MINT-8340699	intact:EBI-7862965|intact:MINT-8340699	psi-mi:a0a0h2zeg5_pseab(display_long)|uniprotkb:folX(gene name)|psi-mi:folX(display_short)|uniprotkb:PA14_19620(locus name)	psi-mi:a0a0h2zeg5_pseab(display_long)|uniprotkb:folX(gene name)|psi-mi:folX(display_short)|uniprotkb:PA14_19620(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Gabrielsen et al. (2012)	pubmed:22575651|mint:MINT-8340569	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7862959|mint:MINT-8342529	intact-miscore:0.62	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0042802"(identical protein binding)|refseq:WP_003091897.1|go:"GO:0004150"(dihydroneopterin aldolase activity)|go:"GO:0006760"(folic acid-containing compound metabolic process)|interpro:IPR006157(Dihydroneopterin aldolase)|mint:A0A0H2ZEG5|uniprotkb:Q02QS7(uniprot-removed-ac)|mint:MINT-8342531(identity)	go:"GO:0042802"(identical protein binding)|refseq:WP_003091897.1|go:"GO:0004150"(dihydroneopterin aldolase activity)|go:"GO:0006760"(folic acid-containing compound metabolic process)|interpro:IPR006157(Dihydroneopterin aldolase)|mint:A0A0H2ZEG5|uniprotkb:Q02QS7(uniprot-removed-ac)|mint:MINT-8342531(identity)	-	comment:mint|comment:"\"Stoichiometry: 8.0\""	comment:mint|comment:"\"Stoichiometry: 8.0\""	comment:mint|figure legend:t1 f3 st2	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2012/03/16	2014/10/16	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	intact-crc:8671F6A81334AB2F|rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0	false	-	-	8	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5	intact:EBI-7862965|intact:MINT-8340699	intact:EBI-7862965|intact:MINT-8340699	psi-mi:a0a0h2zeg5_pseab(display_long)|uniprotkb:folX(gene name)|psi-mi:folX(display_short)|uniprotkb:PA14_19620(locus name)	psi-mi:a0a0h2zeg5_pseab(display_long)|uniprotkb:folX(gene name)|psi-mi:folX(display_short)|uniprotkb:PA14_19620(locus name)	psi-mi:"MI:0028"(cosedimentation in solution)	Gabrielsen et al. (2012)	pubmed:22575651|mint:MINT-8340569	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7863004|mint:MINT-8342537	intact-miscore:0.62	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0042802"(identical protein binding)|refseq:WP_003091897.1|go:"GO:0004150"(dihydroneopterin aldolase activity)|go:"GO:0006760"(folic acid-containing compound metabolic process)|interpro:IPR006157(Dihydroneopterin aldolase)|mint:A0A0H2ZEG5|uniprotkb:Q02QS7(uniprot-removed-ac)|mint:MINT-8342539(identity)	go:"GO:0042802"(identical protein binding)|refseq:WP_003091897.1|go:"GO:0004150"(dihydroneopterin aldolase activity)|go:"GO:0006760"(folic acid-containing compound metabolic process)|interpro:IPR006157(Dihydroneopterin aldolase)|mint:A0A0H2ZEG5|uniprotkb:Q02QS7(uniprot-removed-ac)|mint:MINT-8342539(identity)	-	comment:mint|comment:"\"Stoichiometry: 8.0\""	comment:mint|comment:"\"Stoichiometry: 8.0\""	figure legend:f4|comment:mint	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2012/03/16	2014/10/16	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	intact-crc:FFA2BA7AA287E576|rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0	false	-	-	8	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5	intact:EBI-7862965|intact:MINT-8340699	intact:EBI-7862965|intact:MINT-8340699	psi-mi:a0a0h2zeg5_pseab(display_long)|uniprotkb:folX(gene name)|psi-mi:folX(display_short)|uniprotkb:PA14_19620(locus name)	psi-mi:a0a0h2zeg5_pseab(display_long)|uniprotkb:folX(gene name)|psi-mi:folX(display_short)|uniprotkb:PA14_19620(locus name)	psi-mi:"MI:0826"(x ray scattering)	Gabrielsen et al. (2012)	pubmed:22575651|mint:MINT-8340569	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-7863020|mint:MINT-8342547	intact-miscore:0.62	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0042802"(identical protein binding)|refseq:WP_003091897.1|go:"GO:0004150"(dihydroneopterin aldolase activity)|go:"GO:0006760"(folic acid-containing compound metabolic process)|interpro:IPR006157(Dihydroneopterin aldolase)|mint:A0A0H2ZEG5|uniprotkb:Q02QS7(uniprot-removed-ac)|mint:MINT-8342549(identity)	go:"GO:0042802"(identical protein binding)|refseq:WP_003091897.1|go:"GO:0004150"(dihydroneopterin aldolase activity)|go:"GO:0006760"(folic acid-containing compound metabolic process)|interpro:IPR006157(Dihydroneopterin aldolase)|mint:A0A0H2ZEG5|uniprotkb:Q02QS7(uniprot-removed-ac)|mint:MINT-8342549(identity)	-	comment:mint|comment:"\"Stoichiometry: 8.0\""	comment:mint|comment:"\"Stoichiometry: 8.0\""	figure legend:f5a|comment:mint	taxid:-1(in vitro)|taxid:-1(In vitro)	kd:0.887x10^-6(molar)	2012/03/16	2014/10/16	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	intact-crc:AB2DE5F77DFCC8B3|rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0	false	-	-	8	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:A0A0H2Z989	uniprotkb:A0A0H2Z989	intact:EBI-8288482|intact:MINT-8405740	intact:EBI-8288482|intact:MINT-8405740	psi-mi:a0a0h2z989_pseab(display_long)|uniprotkb:exsD(gene name)|psi-mi:exsD(display_short)|uniprotkb:PA14_42380(locus name)	psi-mi:a0a0h2z989_pseab(display_long)|uniprotkb:exsD(gene name)|psi-mi:exsD(display_short)|uniprotkb:PA14_42380(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bernhards et al. (2013)	mint:fj-12-0809|pubmed:23279839|mint:MINT-8405700	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8288491|mint:MINT-8405706	intact-miscore:0.44	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	mint:A0A0H2Z989|rcsb pdb:3FD9|refseq:WP_003109509.1|interpro:IPR031835|uniprotkb:Q02KK5(uniprot-removed-ac)|mint:MINT-8405708(identity)	mint:A0A0H2Z989|rcsb pdb:3FD9|refseq:WP_003109509.1|interpro:IPR031835|uniprotkb:Q02KK5(uniprot-removed-ac)|mint:MINT-8405708(identity)	-	comment:mint|comment:"\"Stoichiometry: 3.0\""	comment:mint|comment:"\"Stoichiometry: 3.0\""	figure legend:f2b|comment:mint	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2012/12/20	2014/10/16	rogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963	rogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963	intact-crc:0CDC68C6C50E809B|rigid:LjUWnzk/C+zypl0T+u5AX1gExGA	false	mutation disrupting interaction:59-59(MINT-8405712)	mutation disrupting interaction:59-59(MINT-8405712)	3	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8	intact:EBI-16224501	intact:EBI-16224501	psi-mi:a0a0h2ziz8_pseab(display_long)|uniprotkb:PA14_68470(locus name)	psi-mi:a0a0h2ziz8_pseab(display_long)|uniprotkb:PA14_68470(locus name)	psi-mi:"MI:0071"(molecular sieving)	Morris et al. (2013)	pubmed:23954502|doi:10.1016/j.str.2013.07.007|imex:IM-21903	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16224504|imex:IM-21903-1|dip:DIP-192456E	intact-miscore:0.62	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0003723"(RNA binding)|go:"GO:0006109"(regulation of carbohydrate metabolic process)|go:"GO:0006402"(mRNA catabolic process)|interpro:IPR003751(Carbon storage regulator)|rcsb pdb:4K59|rcsb pdb:4KJI|rcsb pdb:4KRW|refseq:WP_003096222.1|uniprotkb:Q02EI1(uniprot-removed-ac)|go:"GO:0042802"(identical protein binding)|interpro:IPR036107	go:"GO:0003723"(RNA binding)|go:"GO:0006109"(regulation of carbohydrate metabolic process)|go:"GO:0006402"(mRNA catabolic process)|interpro:IPR003751(Carbon storage regulator)|rcsb pdb:4K59|rcsb pdb:4KJI|rcsb pdb:4KRW|refseq:WP_003096222.1|uniprotkb:Q02EI1(uniprot-removed-ac)|go:"GO:0042802"(identical protein binding)|interpro:IPR036107	psi-mi:"MI:0465"(dip)	-	-	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/09	2017/08/12	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k	false	-	-	-	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8	intact:EBI-16224501	intact:EBI-16224501	psi-mi:a0a0h2ziz8_pseab(display_long)|uniprotkb:PA14_68470(locus name)	psi-mi:a0a0h2ziz8_pseab(display_long)|uniprotkb:PA14_68470(locus name)	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	Morris et al. (2013)	pubmed:23954502|doi:10.1016/j.str.2013.07.007|imex:IM-21903	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16224520|imex:IM-21903-2|dip:DIP-192456E	intact-miscore:0.62	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0003723"(RNA binding)|go:"GO:0006109"(regulation of carbohydrate metabolic process)|go:"GO:0006402"(mRNA catabolic process)|interpro:IPR003751(Carbon storage regulator)|rcsb pdb:4K59|rcsb pdb:4KJI|rcsb pdb:4KRW|refseq:WP_003096222.1|uniprotkb:Q02EI1(uniprot-removed-ac)|go:"GO:0042802"(identical protein binding)|interpro:IPR036107	go:"GO:0003723"(RNA binding)|go:"GO:0006109"(regulation of carbohydrate metabolic process)|go:"GO:0006402"(mRNA catabolic process)|interpro:IPR003751(Carbon storage regulator)|rcsb pdb:4K59|rcsb pdb:4KJI|rcsb pdb:4KRW|refseq:WP_003096222.1|uniprotkb:Q02EI1(uniprot-removed-ac)|go:"GO:0042802"(identical protein binding)|interpro:IPR036107	psi-mi:"MI:0465"(dip)	-	-	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/09	2017/08/12	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k	false	-	-	-	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8	intact:EBI-16224501	intact:EBI-16224501	psi-mi:a0a0h2ziz8_pseab(display_long)|uniprotkb:PA14_68470(locus name)	psi-mi:a0a0h2ziz8_pseab(display_long)|uniprotkb:PA14_68470(locus name)	psi-mi:"MI:0114"(x-ray crystallography)	Morris et al. (2013)	pubmed:23954502|doi:10.1016/j.str.2013.07.007|imex:IM-21903	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(DIP)	intact:EBI-16224538|imex:IM-21903-3|dip:DIP-192456E	intact-miscore:0.62	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	go:"GO:0003723"(RNA binding)|go:"GO:0006109"(regulation of carbohydrate metabolic process)|go:"GO:0006402"(mRNA catabolic process)|interpro:IPR003751(Carbon storage regulator)|rcsb pdb:4K59|rcsb pdb:4KJI|rcsb pdb:4KRW|refseq:WP_003096222.1|uniprotkb:Q02EI1(uniprot-removed-ac)|go:"GO:0042802"(identical protein binding)|interpro:IPR036107	go:"GO:0003723"(RNA binding)|go:"GO:0006109"(regulation of carbohydrate metabolic process)|go:"GO:0006402"(mRNA catabolic process)|interpro:IPR003751(Carbon storage regulator)|rcsb pdb:4K59|rcsb pdb:4KJI|rcsb pdb:4KRW|refseq:WP_003096222.1|uniprotkb:Q02EI1(uniprot-removed-ac)|go:"GO:0042802"(identical protein binding)|interpro:IPR036107	psi-mi:"MI:0465"(dip)	-	-	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/09	2017/08/12	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k	false	-	-	-	0	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q02MM2	uniprotkb:Q02ML9	intact:EBI-15924852	intact:EBI-15924821	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy1_pseab(display_long)|uniprotkb:csy1(gene name)|psi-mi:csy1(display_short)|uniprotkb:PA14_33330(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178663|imex:IM-24907-1|dip:DIP-189008E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003139224.1|interpro:IPR013397(CRISPR-associated protein Csy1)|dip:DIP-59678N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02ML9 original sequence version: 28\""|comment:"\"DIP protein Q02ML9 original sequence version: 44\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rigid:7DZ58e2uP4RXfaiGD+PV0s5K1Mw	false	-	-	-	-	psi-mi:"MI:0817"(molecular weight estimation by silver staining)	psi-mi:"MI:0817"(molecular weight estimation by silver staining)
uniprotkb:Q02MM2	uniprotkb:Q02MM0	intact:EBI-15924852	intact:EBI-15924831	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy2_pseab(display_long)|uniprotkb:csy2(gene name)|psi-mi:csy2(display_short)|uniprotkb:PA14_33320(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178663|imex:IM-24907-1|dip:DIP-189008E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_003116910.1|interpro:IPR013398(CRISPR-associated protein Csy2)|dip:DIP-59679N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02MM0 original sequence version: 25\""|comment:"\"DIP protein Q02MM0 original sequence version: 40\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:7DZ58e2uP4RXfaiGD+PV0s5K1Mw	false	-	-	-	-	psi-mi:"MI:0817"(molecular weight estimation by silver staining)	psi-mi:"MI:0817"(molecular weight estimation by silver staining)
uniprotkb:Q02MM2	uniprotkb:Q02MM1	intact:EBI-15924852	intact:EBI-15924841	psi-mi:cas6_pseab(display_long)|uniprotkb:cas6f(gene name)|psi-mi:cas6f(display_short)|uniprotkb:csy4(gene name synonym)|uniprotkb:PA14_33300(locus name)	psi-mi:csy3_pseab(display_long)|uniprotkb:csy3(gene name)|psi-mi:csy3(display_short)|uniprotkb:csy1-3(gene name synonym)|uniprotkb:PA14_33310(locus name)	psi-mi:"MI:0071"(molecular sieving)	Bondy-Denomy et al. (2015)	pubmed:26416740|doi:10.1038/nature15254|imex:IM-24907	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	taxid:208963(pseab)|taxid:208963("Pseudomonas aeruginosa (strain UCBPP-PA14)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16178663|imex:IM-24907-1|dip:DIP-189008E	intact-miscore:0.73	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5UZ9|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|rcsb pdb:6B47|rcsb pdb:6B48|refseq:WP_016254196.1|rcsb pdb:2XLI|rcsb pdb:2XLJ|rcsb pdb:2XLK|rcsb pdb:4AL5|rcsb pdb:4AL6|rcsb pdb:4AL7|go:"GO:0004519"(endonuclease activity)|go:"GO:0003723"(RNA binding)|go:"GO:0043571"(maintenance of CRISPR repeat elements)|interpro:IPR013396(CRISPR-associated protein Csy4)|dip:DIP-59681N	rcsb pdb:5XLO|rcsb pdb:5XLP|rcsb pdb:5UZ9|rcsb pdb:6B47|rcsb pdb:6B48|rcsb pdb:6B44|rcsb pdb:6B45|rcsb pdb:6B46|refseq:WP_003139222.1|interpro:IPR013399(CRISPR-associated protein Csy3)|dip:DIP-59680N	psi-mi:"MI:0465"(dip)	comment:"\"DIP protein Q02MM2 original sequence version: 26\""|comment:"\"DIP protein Q02MM2 original sequence version: 43\""	comment:"\"DIP protein Q02MM1 original sequence version: 28\""|comment:"\"DIP protein Q02MM1 original sequence version: 45\""	curation depth:imex curation|full coverage:Only protein-protein interactions	taxid:562(ecolx)|taxid:562(Escherichia coli)	-	2017/08/08	2017/08/10	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:7DZ58e2uP4RXfaiGD+PV0s5K1Mw	false	-	-	-	-	psi-mi:"MI:0817"(molecular weight estimation by silver staining)	psi-mi:"MI:0817"(molecular weight estimation by silver staining)
