#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:Q9HUS3	uniprotkb:Q9HUS3	entrezgene/locuslink:882265|uniprotkb:Q9HUS3|rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|irogid:29031125	entrezgene/locuslink:882265|uniprotkb:Q9HUS3|rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|irogid:29031125	hgnc:desT|uniprotkb:Q9HUS3_PSEAE|crogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|icrogid:29031125	hgnc:desT|uniprotkb:Q9HUS3_PSEAE|crogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|icrogid:29031125	psi-mi:"MI:0114"(x-ray crystallography)	-	pubmed:20639888	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(dip)	dip:DIP-186572E|rigid:nCkoaaxXZeF+gqERBP3sAn+UCHw|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964	rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964	rigid:nCkoaaxXZeF+gqERBP3sAn+UCHw	false	-	-	-	-	-	-
uniprotkb:Q9HUS3	uniprotkb:Q9HUS3	entrezgene/locuslink:882265|uniprotkb:Q9HUS3|rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|irogid:29031125	entrezgene/locuslink:882265|uniprotkb:Q9HUS3|rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|irogid:29031125	hgnc:desT|uniprotkb:Q9HUS3_PSEAE|crogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|icrogid:29031125	hgnc:desT|uniprotkb:Q9HUS3_PSEAE|crogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964|icrogid:29031125	psi-mi:"MI:0114"(x-ray crystallography)	miller-2010-1	pubmed:20639888	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-15866453|rigid:nCkoaaxXZeF+gqERBP3sAn+UCHw|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:562(Escherichia coli)	-	2018/01/22	2018/01/22	rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964	rogid:CwyHGy9CaKg2JwP3a3Xb6JSwLVk208964	rigid:nCkoaaxXZeF+gqERBP3sAn+UCHw	false	-	-	-	-	-	-
uniprotkb:Q9I194	uniprotkb:Q9I194	entrezgene/locuslink:882260|uniprotkb:Q9I194|rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|irogid:26524563	entrezgene/locuslink:882260|uniprotkb:Q9I194|rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|irogid:26524563	hgnc:pvdQ|uniprotkb:PVDQ_PSEAE|crogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|icrogid:26524563	hgnc:pvdQ|uniprotkb:PVDQ_PSEAE|crogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|icrogid:26524563	psi-mi:"MI:0071"(molecular sieving)	-	pubmed:20080736	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(dip)	dip:DIP-185501E|rigid:tWroW2usPGcEjSMOplLL61mKB48|edgetype:Y	hpr:2|lpr:2|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964	rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964	rigid:tWroW2usPGcEjSMOplLL61mKB48	false	-	-	-	-	-	-
uniprotkb:Q9I194	uniprotkb:Q9I194	entrezgene/locuslink:882260|uniprotkb:Q9I194|rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|irogid:26524563	entrezgene/locuslink:882260|uniprotkb:Q9I194|rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|irogid:26524563	hgnc:pvdQ|uniprotkb:PVDQ_PSEAE|crogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|icrogid:26524563	hgnc:pvdQ|uniprotkb:PVDQ_PSEAE|crogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|icrogid:26524563	psi-mi:"MI:0038"(dynamic light scattering)	-	pubmed:20080736	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(dip)	dip:DIP-185501E|rigid:tWroW2usPGcEjSMOplLL61mKB48|edgetype:Y	hpr:2|lpr:2|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964	rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964	rigid:tWroW2usPGcEjSMOplLL61mKB48	false	-	-	-	-	-	-
uniprotkb:Q9I194	uniprotkb:Q9I194	entrezgene/locuslink:882260|uniprotkb:Q9I194|rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|irogid:26524563	entrezgene/locuslink:882260|uniprotkb:Q9I194|rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|irogid:26524563	hgnc:pvdQ|uniprotkb:PVDQ_PSEAE|crogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|icrogid:26524563	hgnc:pvdQ|uniprotkb:PVDQ_PSEAE|crogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964|icrogid:26524563	psi-mi:"MI:0114"(x-ray crystallography)	-	pubmed:20080736	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0465"(dip)	dip:DIP-185501E|rigid:tWroW2usPGcEjSMOplLL61mKB48|edgetype:Y	hpr:2|lpr:2|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964	rogid:7xrAKkPKGHO87ZzC2rUPA6w0SNk208964	rigid:tWroW2usPGcEjSMOplLL61mKB48	false	-	-	-	-	-	-
refseq:NP_250044	rogid:ON6IczUEJUTb9F46L6aalvE5W/o208964	entrezgene/locuslink:881092|refseq:NP_250044|rogid:DMtheuN0QD4rcEsVsy1aRyI/rYE208964|irogid:1587205	pdb:1U6L|pdb:1U6L_A|pdb:1U6L_B|rogid:ON6IczUEJUTb9F46L6aalvE5W/o208964|irogid:9990717	hgnc:PA1353|crogid:DMtheuN0QD4rcEsVsy1aRyI/rYE208964|icrogid:1587205	crogid:ON6IczUEJUTb9F46L6aalvE5W/o208964|icrogid:9990717	-	-	-	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0462"(bind)	bind:306116|rigid:QTvlSg23TodB9qMK+qjNapNYLKM|edgetype:X	-	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:DMtheuN0QD4rcEsVsy1aRyI/rYE208964	rogid:ON6IczUEJUTb9F46L6aalvE5W/o208964	rigid:QTvlSg23TodB9qMK+qjNapNYLKM	false	-	-	-	-	-	-
refseq:NP_250044	rogid:ON6IczUEJUTb9F46L6aalvE5W/o208964	entrezgene/locuslink:881092|refseq:NP_250044|rogid:DMtheuN0QD4rcEsVsy1aRyI/rYE208964|irogid:1587205	pdb:1U6L|pdb:1U6L_A|pdb:1U6L_B|rogid:ON6IczUEJUTb9F46L6aalvE5W/o208964|irogid:9990717	hgnc:PA1353|crogid:DMtheuN0QD4rcEsVsy1aRyI/rYE208964|icrogid:1587205	crogid:ON6IczUEJUTb9F46L6aalvE5W/o208964|icrogid:9990717	psi-mi:"MI:0114"(x-ray crystallography)	-	-	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0000"(bind_translation)	bind:306116|rigid:QTvlSg23TodB9qMK+qjNapNYLKM|edgetype:X	-	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:DMtheuN0QD4rcEsVsy1aRyI/rYE208964	rogid:ON6IczUEJUTb9F46L6aalvE5W/o208964	rigid:QTvlSg23TodB9qMK+qjNapNYLKM	false	-	-	-	-	-	-
refseq:NP_250468	refseq:NP_250468	entrezgene/locuslink:878442|refseq:NP_250468|rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|irogid:5280383	entrezgene/locuslink:878442|refseq:NP_250468|rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|irogid:5280383	hgnc:oprF|crogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|icrogid:5280383	hgnc:oprF|crogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|icrogid:5280383	-	-	pubmed:6309736	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0462"(bind)	bind:130907|rigid:7FpLhIr2Y7vNqEBM0fbpNXOhJCg|edgetype:X	hpr:6|lpr:6|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964	rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964	rigid:7FpLhIr2Y7vNqEBM0fbpNXOhJCg	false	-	-	-	-	-	-
refseq:NP_250468	refseq:NP_250468	entrezgene/locuslink:878442|refseq:NP_250468|rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|irogid:5280383	entrezgene/locuslink:878442|refseq:NP_250468|rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|irogid:5280383	hgnc:oprF|crogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|icrogid:5280383	hgnc:oprF|crogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|icrogid:5280383	psi-mi:"MI:0030"(cross-linking study)	-	pubmed:6309736	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0000"(bind_translation)	bind:130907|rigid:7FpLhIr2Y7vNqEBM0fbpNXOhJCg|edgetype:X	hpr:6|lpr:6|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964	rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964	rigid:7FpLhIr2Y7vNqEBM0fbpNXOhJCg	false	-	-	-	-	-	-
refseq:NP_250468	refseq:NP_250468	entrezgene/locuslink:878442|refseq:NP_250468|rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|irogid:5280383	entrezgene/locuslink:878442|refseq:NP_250468|rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|irogid:5280383	hgnc:oprF|crogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|icrogid:5280383	hgnc:oprF|crogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964|icrogid:5280383	psi-mi:"MI:0030"(cross-linking study)	-	pubmed:6309736	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0000"(bind_translation)	bind:130907|rigid:7FpLhIr2Y7vNqEBM0fbpNXOhJCg|edgetype:X	hpr:6|lpr:6|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964	rogid:zyyGcXvtn06onJB1rOaAPgUAIUw208964	rigid:7FpLhIr2Y7vNqEBM0fbpNXOhJCg	false	-	-	-	-	-	-
